hostname,n_planets,avg_radius_earth,avg_mass_jupiter
TOI-451,3,3.026666666666667,9.903333333333334
Kepler-81,3,2.0,7.8066666666666675
Kepler-171,3,2.263333333333333,5.796666666666667
TOI-125,3,2.805,9.91
TOI-270,3,1.87,3.9599999999999995
Kepler-160,3,2.7375,39.06333333333333
Kepler-529,3,2.21834201,5.666666666666667
Kepler-23,3,2.283,4.9366666666666665
Kepler-311,3,1.7266666666666666,3.6733333333333333
Kepler-174,3,1.8800000000000001,4.253333333333333
Kepler-770,3,1.633333333333333,3.4366666666666674
Kepler-310,3,2.3466666666666667,6.736666666666667
Kepler-31,3,4.9,1230.5619333333334
Kepler-192,3,2.1833333333333336,5.7299999999999995
Kepler-350,3,2.5833333333333335,12.633333333333333
K2-148,3,1.5666666666666667,3.1
Kepler-206,3,1.3866666666666667,2.486666666666667
HIP 14810,3,13.566666666666668,614.4713333333333
HD 96700,3,2.7433333333333336,8.366666666666667
Kepler-83,3,2.3766666666666665,3.0233333333333334
Kepler-431,3,0.8473333333333334,0.6696666666666666
Kepler-336,3,1.83,4.103333333333333
Kepler-385,3,2.7962149333333333,11.12
TOI-712,3,2.408,6.43
WASP-132,3,8.24676387,594.0950461066667
LHS 1678,3,0.8689999999999999,0.8856666666666667
Kepler-148,3,4.693333333333333,24.263333333333332
Kepler-19,3,3.6496666666666666,13.9
HD 142,3,12.0,1934.62151341
Kepler-445,3,1.78,4.023333333333333
Kepler-104,3,3.27,10.761509706666667
PSR B1257+12,3,1.3493333333333333,2.7399999999999998
Kepler-42,3,0.6933333333333334,20.46690966666667
TOI-1117,3,2.8800000000000003,9.463333333333333
Kepler-401,3,2.0433333333333334,4.87
Kepler-46,3,8.065666666666667,676.6096666666666
HD 224018,3,1.9100000000000001,6.233333333333334
Kepler-178,3,3.2433333333333336,10.733333333333334
Kepler-454,3,9.523333333333333,724.3299119133335
HD 153557,3,7.010000000000001,2921.160888736667
Kepler-191,3,1.8266666666666664,4.1000000000000005
HD 69830,3,3.6933333333333334,13.366666666666667
Kepler-194,3,2.1666666666666665,5.486666666666667
Kepler-222,3,3.83,14.233333333333333
Kepler-372,3,1.7133333333333336,3.6466666666666665
Kepler-301,3,1.4833333333333334,2.83
Kepler-394,3,1.58688938,3.1466666666666665
K2-198,3,2.6833333333333336,8.476666666666667
K2-233,3,1.6499999999999997,5.766666666666667
Kepler-9,3,6.003333333333333,27.23822017666667
Kepler-18,3,4.823333333333333,13.533333333333333
Kepler-255,3,1.9533333333333334,4.846666666666667
Kepler-357,3,2.646666666666667,7.75
Kepler-114,3,1.7966666666666669,2.5966666666666667
61 Vir,3,3.893333333333333,15.4
Kepler-250,3,1.8633333333333333,4.239999999999999
Kepler-54,3,1.6199999999999999,4.5915333333333335
Kepler-53,3,2.7266666666666666,61.396899999999995
Kepler-249,3,1.39,2.4333333333333336
Kepler-253,3,2.483333333333333,7.0
Kepler-196,3,2.2668855766666667,5.826666666666665
Kepler-142,3,2.3366666666666664,6.16
Kepler-217,3,1.8,3.9933333333333336
Kepler-603,3,3.4899999999999998,14.770000000000001
KIC 10001893,3,,
ups And,3,12.933333333333332,2639.8377672033334
GJ 433,3,3.58,14.562666666666665
HD 125612,3,9.99,1080.7225266033333
KOI-7892,3,3.161557523333333,10.446666666666667
HD 11506,3,13.066666666666668,1915.4458661866668
TOI-663,3,2.15,4.433333333333334
HD 136352,3,2.3806666666666665,8.26
Kepler-267,3,2.126666666666667,16.28333333333333
Kepler-1468,3,2.07062382,5.446666666666666
Kepler-30,3,8.333333333333334,224.79999999999998
Kepler-1130,3,0.7457061899999999,0.35366666666666663
Kepler-56,3,9.703333333333335,662.3666666666667
Kepler-326,3,1.3766666666666667,22.96666666666667
Kepler-92,3,2.7256666666666667,27.422226866666666
HD 176986,3,2.49,1197.50002926
Kepler-352,3,0.9687601066666667,1.028333333333333
Kepler-1669,3,1.9672159666666664,4.8
HD 73344,3,9.861333333333333,313.1641445533333
GJ 163,3,3.89,15.6
K2-183,3,1.8999999999999997,4.390000000000001
GJ 180,3,2.5,6.816666666666666
Kepler-968,3,2.09,6.3933333333333335
HD 33142,3,12.306666666666667,248.96558548333334
K2-37,3,2.0366666666666666,7.133333333333333
K2-157,3,4.058333333333334,18.413333333333334
HD 28109,3,3.31,7.066666666666666
K2-16,3,1.8633333333333335,4.2700000000000005
K2-155,3,2.1,5.1433333333333335
HD 39194,3,2.016666666666667,4.766666666666667
Kepler-416,3,2.1473333333333335,22.516666666666666
Kepler-1073,3,1.8092364966666665,4.016666666666667
Kepler-60,3,1.8666666666666665,4.066666666666666
Kepler-149,3,3.26,11.54
Kepler-290,3,1.9366666666666668,4.668666666666668
GJ 357,3,1.7333333333333334,3.78
Kepler-616,3,2.831,8.5
EPIC 249893012,3,3.186666666666667,11.200000000000001
HD 181433,3,13.2,1591.2608910466668
Kepler-398,3,0.94,0.7913333333333332
Kepler-399,3,1.4266666666666665,2.566666666666667
Kepler-271,3,0.9466666666666667,1.0226666666666666
Kepler-166,3,2.1266666666666665,5.223333333333334
Kepler-1321,3,3.31614594,11.753333333333332
K2-58,3,2.0033333333333334,4.826666666666667
LP 791-18,3,1.5606666666666669,3.313333333333333
Kepler-219,3,3.1133333333333333,13.536666666666667
K2-165,3,1.8255406333333333,4.233333333333333
TOI-1260,3,2.763333333333333,11.200000000000001
K2-352,3,1.8399999999999999,4.133333333333334
Kepler-254,3,2.84,8.1
Kepler-207,3,2.1266666666666665,5.6499999999999995
HD 27894,3,11.68,770.6280301933333
Kepler-332,3,1.1466666666666665,1.5966666666666667
Kepler-325,3,2.7466666666666666,7.996666666666667
HD 63433,3,1.9683333333333337,12.847999999999999
TOI-4504,3,9.129296963333333,551.7562987366667
KOI-142,3,10.179333333333334,396.2489988533334
Kepler-359,3,3.9466666666666668,5.933333333333333
GJ 3998,3,2.0766666666666667,5.13
HD 184010,3,12.733333333333334,112.29937047333333
Kepler-275,3,3.016666666666667,9.526666666666666
K2-239,3,1.0666666666666667,1.2373333333333334
Kepler-126,3,1.8666666666666665,19.99562325333333
Kepler-127,3,2.2333333333333334,5.853333333333333
TOI-1266,3,2.08,3.77
Kepler-218,3,2.426666666666667,6.783333333333332
TOI-431,3,2.02,5.266666666666667
HD 7924,3,,1796.3661563633334
Kepler-27,3,3.8687315333333334,2429.653333333333
GJ 9827,3,1.5166666666666666,3.0533333333333332
GJ 3138,3,2.0966666666666662,5.486666666666667
EPIC 206024342,3,1.9000000000000001,4.446666666666666
HD 204313,3,9.803333333333333,2117.3728474333334
HD 22946,3,2.099,16.666666666666668
HR 858,3,1.9946666666666666,4.816666666666666
Kepler-319,3,2.183333333333333,5.52
HD 93385,3,2.4433333333333334,6.666666666666667
Kepler-549,3,3.233333333333333,12.103333333333333
K2-219,3,1.7874558733333334,4.066666666666666
Kepler-198,3,2.2733333333333334,5.989999999999999
Kepler-47,3,4.913333333333333,8.086666666666666
Kepler-158,3,1.4833333333333332,3.1524
Kepler-1311,3,4.039458683333333,23.849999999999998
Kepler-124,3,1.1966666666666665,1.8116666666666668
K2-80,3,2.01070502,4.833333333333333
Kepler-272,3,1.8233333333333333,60.49666666666667
Kepler-1530,3,2.18956705,5.830000000000001
Kepler-244,3,2.3733333333333335,9.37
47 UMa,3,13.633333333333333,498.9736666666667
Kepler-228,3,2.7566666666666664,8.703333333333333
Kepler-247,3,3.223333333333333,11.243333333333334
K2-19,3,4.07,17.733333333333334
Kepler-339,3,1.2466666666666666,8.200000000000001
HD 28471,3,2.0233333333333334,4.783333333333333
HD 31527,3,3.5100000000000002,12.15
Kepler-354,3,1.4633333333333336,2.793333333333333
CoRoT-7,3,2.94045,9.872868393333333
HD 48948,3,2.6333333333333333,7.579999999999999
GJ 1061,3,1.1466666666666667,1.5833333333333333
Kepler-763,3,1.4366666666666665,2.67
YZ Cet,3,0.9976666666666668,0.9766666666666666
2MASS J19383260+4603591,3,13.466666666666667,558.3195771966666
Kepler-10,3,2.4383333333333335,8.843333333333334
Kepler-25,3,5.988333333333333,31.933333333333337
Kepler-281,3,4.689159353333333,379.708
Kepler-295,3,1.25,2.0366666666666666
Kepler-203,3,2.16,263.6433333333333
Kepler-381,3,1.0589288333333335,1.209
Kepler-619,3,3.0066666666666664,9.933333333333332
TOI-7510,3,9.546666666666667,113.03333333333335
Kepler-129,3,5.84,900.3252593666666
Kepler-184,3,2.273333333333333,7.243333333333333
Kepler-130,3,1.8533333333333335,4.373333333333334
Kepler-331,3,1.7666666666666666,3.78
Kepler-487,3,5.625045226666667,7.885
Kepler-363,3,1.6333333333333335,24.303333333333338
Kepler-374,3,1.1466666666666667,1.5733333333333335
Kepler-403,3,1.4733333333333334,2.8033333333333332
Kepler-226,3,1.68,23.72666666666667
Kepler-52,3,1.9633333333333332,89.75916666666666
Kepler-450,3,3.199,16.5
Kepler-334,3,1.32,2.22
TOI-1472,2,3.6959999999999997,19.59
Kepler-539,2,10.8365615,535.54355
Kepler-252,2,1.69,3.655
Kepler-199,2,3.1799999999999997,10.225
Kepler-358,2,2.785,8.175
Kepler-366,2,1.625,3.295
Kepler-462,2,3.5,29.95
Kepler-187,2,2.04,5.09
Kepler-524,2,1.435,2.5749999999999997
Kepler-1489,2,1.1400000000000001,1.9335
Kepler-716,2,2.14640768,5.635
Kepler-1085,2,5.244088704999999,25.950000000000003
HD 108874,2,13.7,382.97929999999997
GJ 229,2,3.42,11.75965106
Kepler-318,2,4.195,16.5
TOI-1064,2,2.6189999999999998,8.0
Kepler-201,2,2.6550000000000002,7.5600000000000005
Kepler-755,2,1.51,2.94
TOI-1736,2,7.840877675,1406.15
Kepler-159,2,2.895,8.879999999999999
Kepler-136,2,2.02,12.21
