hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
TOI-5789,4,2.3649999999999998,5.755,20.4581,302.7734475,16.1897138
HD 3167,4,2.355,7.21,47.2899,8.7401487,4.3807215
TOI-561,4,2.3485,8.42,85.799,148.1851516,6.216103
Kepler-338,4,2.335,13.6125,552.798,282.9790593,40.7844188
Kepler-24,4,2.328,85.3252,1156.81,290.4132621,38.3437283
Kepler-304,4,2.245,5.9425,434.684,294.4418031,40.5575408
Kepler-26,4,2.245,4.7375,335.307,284.9410627,46.5664505
Kepler-224,4,2.195,5.715,782.088,290.9342679,47.3575414
Kepler-306,4,2.1525,5.3675,775.679,288.5387145,40.6160545
Kepler-256,4,2.1425,5.3125,1026.43,292.58042,46.0973588
Kepler-49,4,2.04575,63.7925375,311.222,292.2945208,40.5918123
Kepler-176,4,1.9975,73.5269375,527.321,294.6679021,43.8532104
Kepler-758,4,1.955,4.5775,1502.32,293.0846115,41.1354049
HD 20794,4,1.9499999999999997,4.5225,6.00278,49.9997666,-43.0666533
Kepler-235,4,1.9450000000000003,4.55,428.018,286.0790779,39.278237
Kepler-282,4,1.9425,30.02,1337.61,284.6772402,44.7976401
Kepler-299,4,1.925,4.5225,1052.24,283.2070156,48.5805222
Kepler-342,4,1.895,4.39125,781.611,292.6780488,46.7266813
Kepler-215,4,1.8824999999999998,8.5875,485.997,294.9735313,45.2136867
Kepler-324,4,1.8646561099999999,664.461,501.574,286.4714473,49.6490933
Kepler-1987,4,1.7850000000000001,4.07,595.683,295.8254663,42.9433716
K2-187,4,1.725,3.7575,330.916,132.5235618,23.1924709
Kepler-107,4,1.724,8.9,525.997,297.028162,48.2086019
Kepler-106,4,1.7075,8.7525,444.322,300.864006,44.3375497
Kepler-341,4,1.6800000000000002,3.4975,1047.03,289.8615609,43.4727412
K2-133,4,1.669,3.4675000000000002,75.1703,70.1493775,25.0098135
Kepler-85,4,1.5565,3.3216975,765.025,290.9734395,45.2902761
tau Cet,4,1.4975,2.86,3.60304,26.0093029,-15.9337987
Kepler-286,4,1.4275,2.6574999999999998,1226.85,290.6761874,48.2942362
Kepler-208,4,1.4249999999999998,2.615,775.328,293.8901979,42.5279413
Kepler-402,4,1.405,2.56,625.339,288.3701976,43.3546109
